id,title,title_en,address,lat,lng,time_start,time_end,description,description_en,tags
temppeliaukio,Temppeliaukion kirkko — Ambient Soundscape,Temppeliaukio Church — Ambient Soundscape,"Lutherinkatu 3, 00100 Helsinki",60.1729599,24.9252271,19:00,22:00,Tunnelmallinen ambient-konserttisarja kalliokirkon luolastomaisessa arkkitehtuurissa. Esiintyjinä paikallisia elektronisen musiikin tekijöitä.,An atmospheric ambient concert series in the cave-like architecture of the rock church. Featuring local electronic music artists.,"music, culture"
oodi,Oodi — Digitaalinen taidenäyttely,Oodi — Digital Art Exhibition,"Töölönlahdenkatu 4, 00100 Helsinki",60.1741,24.9386,14:00,20:00,Interaktiivinen digitaalinen taidenäyttely kirjaston neljännessä kerroksessa. Teosten aiheena data ja kaupunkilainen arki.,An interactive digital art exhibition on the fourth floor of the library. Works explore data and everyday urban life.,"art, culture"
kamppi-kappeli,Kamppi kappeli — Hiljaisuuden hetki,Kamppi Chapel — Moment of Silence,"Simonkatu 7, 00100 Helsinki",60.1694433,24.9359193,17:00,19:00,Äänimaisema-esitys Kamppi-kappelissa. Kappeli avautuu yleisölle erityisen meditatiivisen äänikokemus-session ajaksi.,A soundscape performance in Kamppi Chapel. The chapel opens to the public for a special meditative sound experience session.,culture
hakaniemen-tori,Hakaniemen tori — Ruokatori,Hakaniemi Market — Food Market,"Kallio, Helsinki, 00530",60.1784,24.9498,10:00,15:00,"Paikallisten ruokatuottajien erityistori Hakaniemessä. Lähiruokaa, käsitöitä ja pieniä esityksiä päivän mittaan.","A special market day with local food producers at Hakaniemi Square. Local food, crafts and small performances throughout the day.","food, market"
kauppatori,Kauppatori — Kaupunkifestivaalin sydän,Market Square — Heart of the City Festival,"Kauppatori 1, 00170 Helsinki",60.1671,24.9519,09:00,18:00,"Helsingin Kauppaktorilla juhlistetaan kaupungin monimuotoisuutta. Esiintyjiä koko päivän ajan, ruokaa ja juomaa monipuolisesti.","Helsinki's Market Square celebrates the city's diversity. Performers throughout the day, with a wide variety of food and drink.","food, market, outdoor"
ateneum,Ateneum — Yöavaus,Ateneum — Evening Opening,"Kaivokatu 2, 00100 Helsinki",60.1700175,24.9440678,15:00,21:00,Museon erikoisavaus iltatunneille. Uusi kotimaisen nykytaiteen näyttely avataan yleisölle ensi-iltatapahtumassa.,Special evening opening of the museum. A new exhibition of Finnish contemporary art opens to the public at a premiere event.,"art, culture"
kiasma,Kiasma — Performanssitaide,Kiasma — Performance Art,"Mannerheiminaukio 2, 00100 Helsinki",60.1714,24.9335,16:00,22:00,Nykytaiteen museossa performanssitaiteilijoita ympäri Euroopan. Teokset käsittelevät kaupunkielämää ja teknologian vaikutusta.,Performance artists from across Europe at the Museum of Contemporary Art. Works explore urban life and the impact of technology.,art
suomenlinna,Suomenlinna — Merimaiseman konsertit,Suomenlinna — Seascape Concerts,"Suomenlinna, Helsinki, 00190",60.1454,24.9881,12:00,22:00,"Maailmanperintökohde kutsuu vieraakseen päiväksi täynnä musiikkia, historiaa ja kulttuuriohjelmaa. Lauttayhteys Kauppatorilta.","The World Heritage Site invites visitors for a day full of music, history and cultural programming. Ferry connection from Market Square.","culture, outdoor"
linnanmaki,Linnanmäki — Perhejuhla,Linnanmäki — Family Celebration,"Tivolintie 1, 00510 Helsinki",60.1924,24.9396,14:00,22:00,"Huvipuiston erityistapahtuma koko perheelle. Pihoilla kiertäviä artisteja, pop-up-ravintoloita ja erikoisohjelma.","A special amusement park event for the whole family. Roaming artists, pop-up restaurants and a special programme.","family, outdoor"
olympiastadion,Olympiastadion — Kaupunkiurheilu,Olympic Stadium — Urban Sports,"Paavo Nurmen tie 1, 00250 Helsinki",60.187003,24.9272463,18:00,21:00,Stadionilla järjestetään avoin kaupunkiurheilu-iltatapahtuma. Mukaan mahtuu kaikki — ei kilpailutasoa vaadita.,An open urban sports evening event at the stadium. Everyone is welcome — no competitive level required.,sports
kallion-kirjasto,Kallion kirjasto — Ääniruno,Kallio Library — Sound Poetry,"Viides linja 11, 00530 Helsinki",60.1836068,24.953627,16:00,19:00,Runoilijoiden ja musiikintekijöiden yhteinen ilta Kallion kirjastossa. Avoin mikrofoni-sessio kaikille halukkaille.,A joint evening for poets and musicians at Kallio Library. Open mic session for all who wish to participate.,"culture, art"
suvilahti,Suvilahti — Päiväklubi,Suvilahti — Day Club,"Vilhonvuorenkatu, Kalasatama, Helsinki, 00540",60.1854,24.971,15:00,00:00,"Teollisuusalueen pihalle syntyvä avoin festivaalikenttä. Pääesiintyjät alkavat illalla, DJ:t hoitavat loppuyön.","An open festival ground in the industrial yard. Headliners from the evening, DJs carry on through the night.",music
hietalahden-kauppahalli,Hietalahden kauppahalli — Käsityötori,Hietalahti Market Hall — Craft Market,"Hietalahdentori 6, 00180 Helsinki",60.1628001,24.9300429,10:00,16:00,Kauppahallin edessä perinteinen käsityö- ja designtori. Helsinkiläisten käsityöläisten töitä ja lähituottajien herkkuja.,A traditional craft and design market in front of the market hall. Works by Helsinki artisans and local food producers.,"food, market"
esplanadin-puisto,Esplanadin puisto — Katusoittajat,Esplanade Park — Street Musicians,"Pohjoisesplanadi 2, 00170 Helsinki",60.1682,24.947,18:00,21:00,Esplanaadilla soi koko illan. Kaupungin parhaita katumuusikoita ja yhtyeitä eri puolilta puistoa.,Music fills the Esplanade all evening. The city's best street musicians and bands performing from different corners of the park.,"music, outdoor"
teurastamo,Teurastamo — Ruoka & Musiikki,Teurastamo — Food & Music,"Sörnäisten rantatie 22, Kalasatama, Helsinki, 00580",60.1863,24.9715,17:00,23:00,Sörnäisten teurastamon piha-alue täyttyy pop-up-ravintoloista ja musiikista. Helsinki-henkistä ruokaa ja juomaa koko illan.,The Sörnäinen slaughterhouse courtyard fills with pop-up restaurants and music. Helsinki-inspired food and drinks all evening.,"food, music"
korjaamo,Korjaamo — Yöteatteri,Korjaamo — Night Theatre,"Töölönkatu 51b, 00250 Helsinki",60.1842564,24.919675,20:00,23:00,Kulttuuritehdas Korjaamossa myöhäisillan teatteri-improvisaatioesitys. Kaksi ryhmää kilpailee yleisön suosiosta.,A late-night theatre improvisation performance at Culture Factory Korjaamo. Two groups compete for audience favour.,"art, culture"
kansallisteatteri,Kansallisteatteri — Avoin harjoitus,National Theatre — Open Rehearsal,"Läntinen Teatterikuja 1, 00100 Helsinki",60.1724381,24.9438359,19:00,22:00,Kansallisteatteri avaa ovensa: nähdään kuinka tulevaa ensi-iltaa harjoitellaan. Sisältää teatterikierroksen ja näyttelijähaastatteluja.,The National Theatre opens its doors to show how an upcoming premiere is rehearsed. Includes a theatre tour and actor interviews.,culture
pihlajasaari,Pihlajasaari — Merikylpylä,Pihlajasaari — Sea Spa,"Hernesaarenranta, Hernesaari, Helsinki, 00150",60.1464,24.9275,11:00,18:00,"Uimaretkipäivä Pihlajasaaressa. Opastettuja snorkkelointiretki, vesijumppaa ja sauna. Lautta Hietalahden satamasta.","A swimming trip day at Pihlajasaari island. Guided snorkelling, water aerobics and sauna. Ferry from Hietalahti harbour.","outdoor, sports"
kaapelitehdas,Kaapelitehdas — Monialainen festivaali,Cable Factory — Multi-Disciplinary Festival,"Tallberginkatu 1, 00180 Helsinki",60.1587,24.9136,18:00,23:00,"Kaapelitehtaan laajat tilat muuttuvat yhdeksi suureksi festivaaliksi. Tanssia, musiikkia, taidetta ja ruokaa eri kerroksissa.","The vast spaces of the Cable Factory become one big festival. Dance, music, art and food across different floors.","art, music"
senaatintori,Senaatintori — Kaupungin juhlat,Senate Square — City Celebrations,"Aleksanterinkatu 26, 00170 Helsinki",60.168913,24.951745,20:00,22:00,Kaupungin päätapahtuma Senaatintorilla. Suuri yhteislaulukonsertti juhlistaa kaupungin monimuotoisuutta valot ja musiikki täyttäen torin.,The city's main event at Senate Square. A large communal singing concert celebrates the city's diversity as lights and music fill the square.,"culture, outdoor"
